date,samsung,realme
2024-08-18,86,12
2024-08-25,82,11
2024-09-01,83,11
2024-09-08,85,12
2024-09-15,84,10
2024-09-22,91,11
2024-09-29,88,11
2024-10-06,84,11
2024-10-13,87,10
2024-10-20,80,10
2024-10-27,84,11
2024-11-03,84,10
2024-11-10,89,9
2024-11-17,88,9
2024-11-24,99,9
2024-12-01,89,9
2024-12-08,84,10
2024-12-15,84,11
2024-12-22,96,11
2024-12-29,88,10
2025-01-05,82,9
2025-01-12,80,10
2025-01-19,89,10
2025-01-26,87,9
2025-02-02,85,9
2025-02-09,81,9
2025-02-16,77,9
2025-02-23,79,9
2025-03-02,76,9
2025-03-09,75,9
2025-03-16,79,10
2025-03-23,75,8
2025-03-30,79,9
2025-04-06,77,9
2025-04-13,70,9
2025-04-20,75,8
2025-04-27,79,9
2025-05-04,77,9
2025-05-11,80,10
2025-05-18,78,10
2025-05-25,84,10
2025-06-01,79,10
2025-06-08,78,10
2025-06-15,79,9
2025-06-22,84,10
2025-06-29,82,10
2025-07-06,91,10
2025-07-13,89,10
2025-07-20,89,11
2025-07-27,100,11
2025-08-03,93,10
2025-08-10,96,10
2025-08-17,90,11
